timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728163399460,228,Requisição GET users,200,OK,Grupo de Usuários 1-61,text,true,,1941,127,54,54,https://reqres.in/api/users?page=2,228,0,136
1728163399468,220,Requisição GET users,200,OK,Grupo de Usuários 1-75,text,true,,1941,127,53,53,https://reqres.in/api/users?page=2,220,0,133
1728163399438,250,Requisição GET users,200,OK,Grupo de Usuários 1-12,text,true,,1941,127,51,51,https://reqres.in/api/users?page=2,250,0,158
1728163399469,219,Requisição GET users,200,OK,Grupo de Usuários 1-86,text,true,,1941,127,51,51,https://reqres.in/api/users?page=2,219,0,132
1728163399460,228,Requisição GET users,200,OK,Grupo de Usuários 1-64,text,true,,1941,127,51,51,https://reqres.in/api/users?page=2,228,0,139
1728163399455,242,Requisição GET users,200,OK,Grupo de Usuários 1-56,text,true,,1941,127,48,48,https://reqres.in/api/users?page=2,242,0,142
1728163399452,246,Requisição GET users,200,OK,Grupo de Usuários 1-48,text,true,,1941,127,47,47,https://reqres.in/api/users?page=2,246,0,141
1728163399468,230,Requisição GET users,200,OK,Grupo de Usuários 1-79,text,true,,1941,127,46,46,https://reqres.in/api/users?page=2,230,0,136
1728163399468,230,Requisição GET users,200,OK,Grupo de Usuários 1-76,text,true,,1941,127,46,46,https://reqres.in/api/users?page=2,230,0,132
1728163399453,246,Requisição GET users,200,OK,Grupo de Usuários 1-51,text,true,,1941,127,44,44,https://reqres.in/api/users?page=2,246,0,142
1728163399463,236,Requisição GET users,200,OK,Grupo de Usuários 1-68,text,true,,1941,127,44,44,https://reqres.in/api/users?page=2,236,0,139
1728163399471,228,Requisição GET users,200,OK,Grupo de Usuários 1-96,text,true,,1941,127,44,44,https://reqres.in/api/users?page=2,228,0,134
1728163399469,230,Requisição GET users,200,OK,Grupo de Usuários 1-87,text,true,,1941,127,44,44,https://reqres.in/api/users?page=2,230,0,138
1728163399467,232,Requisição GET users,200,OK,Grupo de Usuários 1-70,text,true,,1941,127,40,40,https://reqres.in/api/users?page=2,232,0,129
1728163399452,247,Requisição GET users,200,OK,Grupo de Usuários 1-50,text,true,,1941,127,40,40,https://reqres.in/api/users?page=2,247,0,155
1728163399463,236,Requisição GET users,200,OK,Grupo de Usuários 1-69,text,true,,1941,127,38,38,https://reqres.in/api/users?page=2,236,0,139
1728163399467,232,Requisição GET users,200,OK,Grupo de Usuários 1-71,text,true,,1941,127,38,38,https://reqres.in/api/users?page=2,232,0,143
1728163399468,231,Requisição GET users,200,OK,Grupo de Usuários 1-84,text,true,,1941,127,38,38,https://reqres.in/api/users?page=2,231,0,141
1728163399467,233,Requisição GET users,200,OK,Grupo de Usuários 1-74,text,true,,1941,127,37,37,https://reqres.in/api/users?page=2,233,0,138
1728163399436,264,Requisição GET users,200,OK,Grupo de Usuários 1-6,text,true,,1941,127,35,35,https://reqres.in/api/users?page=2,264,0,168
1728163399468,232,Requisição GET users,200,OK,Grupo de Usuários 1-82,text,true,,1941,127,34,34,https://reqres.in/api/users?page=2,232,0,133
1728163399437,263,Requisição GET users,200,OK,Grupo de Usuários 1-8,text,true,,1941,127,34,34,https://reqres.in/api/users?page=2,263,0,170
1728163399453,247,Requisição GET users,200,OK,Grupo de Usuários 1-52,text,true,,1941,127,34,34,https://reqres.in/api/users?page=2,247,0,138
1728163399446,254,Requisição GET users,200,OK,Grupo de Usuários 1-20,text,true,,1941,127,30,30,https://reqres.in/api/users?page=2,254,0,164
1728163399463,237,Requisição GET users,200,OK,Grupo de Usuários 1-66,text,true,,1941,127,30,30,https://reqres.in/api/users?page=2,237,0,142
